data,comune,provincia,rischio
2026-07-14,Alcamo,TP,Alto
2026-07-14,Buseto Palizzolo,TP,Alto
2026-07-14,Calatafimi-Segesta,TP,Alto
2026-07-14,Campobello di Mazara,TP,Alto
2026-07-14,Castellammare del Golfo,TP,Alto
2026-07-14,Castelvetrano,TP,Alto
2026-07-14,Custonaci,TP,Alto
2026-07-14,Erice,TP,Alto
2026-07-14,Favignana,TP,Alto
2026-07-14,Gibellina,TP,Alto
2026-07-14,Marsala,TP,Alto
2026-07-14,Mazara del Vallo,TP,Alto
2026-07-14,Paceco,TP,Alto
2026-07-14,Partanna,TP,Alto
2026-07-14,Poggioreale,TP,Alto
2026-07-14,Salaparuta,TP,Alto
2026-07-14,Salemi,TP,Alto
2026-07-14,Santa Ninfa,TP,Alto
2026-07-14,San Vito Lo Capo,TP,Alto
2026-07-14,Trapani,TP,Alto
2026-07-14,Valderice,TP,Alto
2026-07-14,Vita,TP,Alto
2026-07-14,Petrosino,TP,Alto
2026-07-14,Misiliscemi,TP,Alto
2026-07-14,Alia,PA,Moderato
2026-07-14,Alimena,PA,Alto
2026-07-14,Aliminusa,PA,Moderato
2026-07-14,Altavilla Milicia,PA,Alto
2026-07-14,Altofonte,PA,Moderato
2026-07-14,Bagheria,PA,Alto
2026-07-14,Balestrate,PA,Alto
2026-07-14,Baucina,PA,Alto
2026-07-14,Belmonte Mezzagno,PA,Moderato
2026-07-14,Bisacquino,PA,Alto
2026-07-14,Bolognetta,PA,Alto
2026-07-14,Bompietro,PA,Moderato
2026-07-14,Borgetto,PA,Moderato
2026-07-14,Caccamo,PA,Alto
2026-07-14,Caltavuturo,PA,Moderato
2026-07-14,Campofelice di Fitalia,PA,Alto
2026-07-14,Campofelice di Roccella,PA,Alto
2026-07-14,Campofiorito,PA,Moderato
2026-07-14,Camporeale,PA,Alto
2026-07-14,Capaci,PA,Moderato
2026-07-14,Carini,PA,Moderato
2026-07-14,Castelbuono,PA,Alto
2026-07-14,Casteldaccia,PA,Alto
2026-07-14,Castellana Sicula,PA,Moderato
2026-07-14,Castronovo di Sicilia,PA,Alto
2026-07-14,Cefalà Diana,PA,Moderato
2026-07-14,Cefalù,PA,Moderato
2026-07-14,Cerda,PA,Alto
2026-07-14,Chiusa Sclafani,PA,Alto
2026-07-14,Ciminna,PA,Alto
2026-07-14,Cinisi,PA,Alto
2026-07-14,Collesano,PA,Alto
2026-07-14,Contessa Entellina,PA,Moderato
2026-07-14,Corleone,PA,Moderato
2026-07-14,Ficarazzi,PA,Alto
2026-07-14,Gangi,PA,Moderato
2026-07-14,Geraci Siculo,PA,Moderato
2026-07-14,Giardinello,PA,Alto
2026-07-14,Giuliana,PA,Alto
2026-07-14,Godrano,PA,Moderato
2026-07-14,Gratteri,PA,Moderato
2026-07-14,Isnello,PA,Moderato
2026-07-14,Isola delle Femmine,PA,Alto
2026-07-14,Lascari,PA,Alto
2026-07-14,Lercara Friddi,PA,Moderato
2026-07-14,Marineo,PA,Moderato
2026-07-14,Mezzojuso,PA,Moderato
2026-07-14,Misilmeri,PA,Alto
2026-07-14,Monreale,PA,Alto
2026-07-14,Montelepre,PA,Moderato
2026-07-14,Montemaggiore Belsito,PA,Moderato
2026-07-14,Palazzo Adriano,PA,Moderato
2026-07-14,Palermo,PA,Alto
2026-07-14,Partinico,PA,Alto
2026-07-14,Petralia Soprana,PA,Alto
2026-07-14,Petralia Sottana,PA,Moderato
2026-07-14,Piana degli Albanesi,PA,Alto
2026-07-14,Polizzi Generosa,PA,Moderato
2026-07-14,Pollina,PA,Alto
2026-07-14,Prizzi,PA,Alto
2026-07-14,Roccamena,PA,Alto
2026-07-14,Roccapalumba,PA,Moderato
2026-07-14,San Cipirello,PA,Alto
2026-07-14,San Giuseppe Jato,PA,Alto
2026-07-14,San Mauro Castelverde,PA,Moderato
2026-07-14,Santa Cristina Gela,PA,Moderato
2026-07-14,Santa Flavia,PA,Alto
2026-07-14,Sciara,PA,Alto
2026-07-14,Sclafani Bagni,PA,Moderato
2026-07-14,Termini Imerese,PA,Alto
2026-07-14,Terrasini,PA,Alto
2026-07-14,Torretta,PA,Moderato
2026-07-14,Trabia,PA,Alto
2026-07-14,Trappeto,PA,Alto
2026-07-14,Valledolmo,PA,Moderato
2026-07-14,Ventimiglia di Sicilia,PA,Alto
2026-07-14,Vicari,PA,Alto
2026-07-14,Villabate,PA,Alto
2026-07-14,Villafrati,PA,Moderato
2026-07-14,Scillato,PA,Moderato
2026-07-14,Blufi,PA,Alto
2026-07-14,Alcara li Fusi,ME,Moderato
2026-07-14,Alì,ME,Alto
2026-07-14,Alì Terme,ME,Alto
2026-07-14,Antillo,ME,Moderato
2026-07-14,Barcellona Pozzo di Gotto,ME,Alto
2026-07-14,Basicò,ME,Moderato
2026-07-14,Brolo,ME,Alto
2026-07-14,Capizzi,ME,Moderato
2026-07-14,Capo d'Orlando,ME,Alto
2026-07-14,Capri Leone,ME,Alto
2026-07-14,Caronia,ME,Moderato
2026-07-14,Casalvecchio Siculo,ME,Alto
2026-07-14,Castel di Lucio,ME,Moderato
2026-07-14,Castell'Umberto,ME,Moderato
2026-07-14,Castelmola,ME,Alto
2026-07-14,Castroreale,ME,Moderato
2026-07-14,Cesarò,ME,Moderato
2026-07-14,Condrò,ME,Alto
2026-07-14,Falcone,ME,Alto
2026-07-14,Ficarra,ME,Moderato
2026-07-14,Fiumedinisi,ME,Moderato
2026-07-14,Floresta,ME,Moderato
2026-07-14,Fondachelli-Fantina,ME,Moderato
2026-07-14,Forza d'Agrò,ME,Alto
2026-07-14,Francavilla di Sicilia,ME,Moderato
2026-07-14,Frazzanò,ME,Moderato
2026-07-14,Furci Siculo,ME,Alto
2026-07-14,Furnari,ME,Alto
2026-07-14,Gaggi,ME,Moderato
2026-07-14,Galati Mamertino,ME,Moderato
2026-07-14,Gallodoro,ME,Alto
2026-07-14,Giardini-Naxos,ME,Alto
2026-07-14,Gioiosa Marea,ME,Alto
2026-07-14,Graniti,ME,Alto
2026-07-14,Gualtieri Sicaminò,ME,Alto
2026-07-14,Itala,ME,Alto
2026-07-14,Leni,ME,Alto
2026-07-14,Letojanni,ME,Alto
2026-07-14,Librizzi,ME,Alto
2026-07-14,Limina,ME,Moderato
2026-07-14,Lipari,ME,Alto
2026-07-14,Longi,ME,Moderato
2026-07-14,Malfa,ME,Alto
2026-07-14,Malvagna,ME,Moderato
2026-07-14,Mandanici,ME,Moderato
2026-07-14,Mazzarrà Sant'Andrea,ME,Alto
2026-07-14,Merì,ME,Alto
2026-07-14,Messina,ME,Alto
2026-07-14,Milazzo,ME,Alto
2026-07-14,Militello Rosmarino,ME,Moderato
2026-07-14,Mirto,ME,Alto
2026-07-14,Mistretta,ME,Moderato
2026-07-14,Moio Alcantara,ME,Moderato
2026-07-14,Monforte San Giorgio,ME,Alto
2026-07-14,Mongiuffi Melia,ME,Alto
2026-07-14,Montagnareale,ME,Alto
2026-07-14,Montalbano Elicona,ME,Moderato
2026-07-14,Motta Camastra,ME,Alto
2026-07-14,Motta d'Affermo,ME,Alto
2026-07-14,Naso,ME,Alto
2026-07-14,Nizza di Sicilia,ME,Alto
2026-07-14,Novara di Sicilia,ME,Moderato
2026-07-14,Oliveri,ME,Alto
2026-07-14,Pace del Mela,ME,Alto
2026-07-14,Pagliara,ME,Alto
2026-07-14,Patti,ME,Alto
2026-07-14,Pettineo,ME,Moderato
2026-07-14,Piraino,ME,Alto
2026-07-14,Raccuja,ME,Moderato
2026-07-14,Reitano,ME,Moderato
2026-07-14,Roccafiorita,ME,Moderato
2026-07-14,Roccalumera,ME,Alto
2026-07-14,Roccavaldina,ME,Alto
2026-07-14,Roccella Valdemone,ME,Moderato
2026-07-14,Rodì Milici,ME,Moderato
2026-07-14,Rometta,ME,Alto
2026-07-14,San Filippo del Mela,ME,Alto
2026-07-14,San Fratello,ME,Moderato
2026-07-14,San Marco d'Alunzio,ME,Moderato
2026-07-14,San Pier Niceto,ME,Alto
2026-07-14,San Piero Patti,ME,Moderato
2026-07-14,San Salvatore di Fitalia,ME,Moderato
2026-07-14,Santa Domenica Vittoria,ME,Moderato
2026-07-14,Sant'Agata di Militello,ME,Alto
